r(m),V(m/s),T(K)
0,0,7425.17
5.03E-05,-0.00871049,7425.07
1.01E-04,-0.01726,7424.78
1.51E-04,-0.0258596,7424.3
2.01E-04,-0.0344722,7423.63
0.000251256,-0.043095,7422.77
0.000301508,-0.0517281,7421.72
0.000351759,-0.0603728,7420.47
0.00040201,-0.0690306,7419.03
0.000452261,-0.0777032,7417.4
0.000502513,-0.0863922,7415.57
0.000552764,-0.0950995,7413.54
0.000603015,-0.103827,7411.31
0.000653266,-0.112576,7408.88
0.000703518,-0.121348,7406.25
0.000753769,-0.130146,7403.42
0.00080402,-0.138971,7400.39
0.000854271,-0.147825,7397.14
0.000904523,-0.156709,7393.69
0.000954774,-0.165626,7390.02
0.00100503,-0.174577,7386.14
0.00105528,-0.183565,7382.05
0.00110553,-0.19259,7377.73
0.00115578,-0.201656,7373.2
0.00120603,-0.210762,7368.44
0.00125628,-0.219913,7363.45
0.00130653,-0.229108,7358.23
0.00135678,-0.238351,7352.78
0.00140704,-0.247643,7347.09
0.00145729,-0.256986,7341.15
0.00150754,-0.266381,7334.98
0.00155779,-0.275831,7328.55
0.00160804,-0.285337,7321.87
0.00165829,-0.294902,7314.93
0.00170854,-0.304527,7307.73
0.00175879,-0.314213,7300.26
0.00180905,-0.323964,7292.53
0.0018593,-0.33378,7284.51
0.00190955,-0.343664,7276.21
0.0019598,-0.353618,7267.63
0.00201005,-0.363642,7258.75
0.0020603,-0.373739,7249.58
0.00211055,-0.383912,7240.1
0.0021608,-0.394161,7230.31
0.00221106,-0.404488,7220.21
0.00226131,-0.414895,7209.78
0.00231156,-0.425385,7199.02
0.00236181,-0.435958,7187.93
0.00241206,-0.446617,7176.49
0.00246231,-0.457364,7164.71
0.00251256,-0.4682,7152.56
0.00256281,-0.479127,7140.05
0.00261307,-0.490147,7127.16
0.00266332,-0.501262,7113.89
0.00271357,-0.512474,7100.23
0.00276382,-0.523785,7086.17
0.00281407,-0.535196,7071.7
0.00286432,-0.54671,7056.81
0.00291457,-0.558328,7041.5
0.00296482,-0.570052,7025.74
0.00301508,-0.581885,7009.54
0.00306533,-0.593827,6992.88
0.00311558,-0.605881,6975.75
0.00316583,-0.618048,6958.14
0.00321608,-0.630329,6940.04
0.00326633,-0.642725,6921.44
0.00331658,-0.655237,6902.32
0.00336683,-0.667866,6882.68
0.00341709,-0.680615,6862.49
0.00346734,-0.693486,6841.75
0.00351759,-0.706481,6820.45
0.00356784,-0.719603,6798.56
0.00361809,-0.732854,6776.09
0.00366834,-0.746234,6753
0.00371859,-0.759743,6729.29
0.00376884,-0.773381,6704.94
0.0038191,-0.787149,6679.94
0.00386935,-0.801046,6654.27
0.0039196,-0.815075,6627.92
0.00396985,-0.829236,6600.86
0.0040201,-0.84353,6573.08
0.00407035,-0.857958,6544.57
0.0041206,-0.872522,6515.3
0.00417085,-0.887222,6485.27
0.00422111,-0.902058,6454.44
0.00427136,-0.917027,6422.8
0.00432161,-0.932128,6390.33
0.00437186,-0.947359,6357.02
0.00442211,-0.962722,6322.84
0.00447236,-0.978218,6287.77
0.00452261,-0.993845,6251.8
0.00457286,-1.0096,6214.9
0.00462312,-1.02548,6177.05
0.00467337,-1.04147,6138.23
0.00472362,-1.05759,6098.42
0.00477387,-1.07383,6057.6
0.00482412,-1.09018,6015.75
0.00487437,-1.10664,5972.85
0.00492462,-1.12321,5928.88
0.00497487,-1.13987,5883.8
0.00502513,-1.15662,5837.62
0.00507538,-1.17347,5790.3
0.00512563,-1.19039,5741.82
0.00517588,-1.20739,5692.16
0.00522613,-1.22445,5641.31
0.00527638,-1.24157,5589.25
0.00532663,-1.25874,5535.95
0.00537688,-1.27595,5481.4
0.00542714,-1.29318,5425.59
0.00547739,-1.31044,5368.49
0.00552764,-1.32769,5310.1
0.00557789,-1.34494,5250.39
0.00562814,-1.36216,5189.37
0.00567839,-1.37935,5127.03
0.00572864,-1.39647,5063.36
0.00577889,-1.41353,4998.37
0.00582915,-1.43049,4932.07
0.0058794,-1.44733,4864.48
0.00592965,-1.46403,4795.62
0.0059799,-1.48056,4725.54
0.00603015,-1.49688,4654.31
0.0060804,-1.51295,4582.01
0.00613065,-1.52874,4508.76
0.0061809,-1.5442,4434.72
0.00623116,-1.55926,4360.06
0.00628141,-1.57389,4285.03
0.00633166,-1.588,4209.92
0.00638191,-1.60153,4135.05
0.00643216,-1.61442,4060.77
0.00648241,-1.62658,3987.46
0.00653266,-1.63793,3915.47
0.00658291,-1.64841,3845.09
0.00663317,-1.65793,3776.57
0.00668342,-1.66646,3710.07
0.00673367,-1.67398,3645.65
0.00678392,-1.68048,3583.32
0.00683417,-1.68595,3523.04
0.00688442,-1.69045,3464.73
0.00693467,-1.69404,3408.36
0.00698492,-1.69665,3353.92
0.00703518,-1.69847,3301.44
0.00708543,-1.69939,3251.01
0.00713568,-1.69958,3202.77
0.00718593,-1.69896,3156.87
0.00723618,-1.69756,3113.44
0.00728643,-1.69544,3072.53
0.00733668,-1.69246,3034.11
0.00738693,-1.68869,2998.03
0.00743719,-1.6843,2964.1
0.00748744,-1.6791,2932.04
0.00753769,-1.67323,2901.55
0.00758794,-1.66679,2872.3
0.00763819,-1.65977,2843.98
0.00768844,-1.65222,2816.28
0.00773869,-1.64412,2788.87
0.00778894,-1.63544,2761.38
0.0078392,-1.62631,2733.46
0.00788945,-1.61672,2704.77
0.0079397,-1.60651,2674.92
0.00798995,-1.59567,2643.5
0.0080402,-1.584,2610.18
0.00809045,-1.57158,2574.84
0.0081407,-1.55846,2537.82
0.00819095,-1.54495,2499.99
0.00824121,-1.53156,2462.7
0.00829146,-1.51792,2427.35
0.00834171,-1.50368,2394.88
0.00839196,-1.48882,2365.65
0.00844221,-1.47311,2339.44
0.00849246,-1.45692,2315.82
0.00854271,-1.44038,2294.34
0.00859296,-1.42358,2274.63
0.00864322,-1.40659,2256.37
0.00869347,-1.38948,2239.33
0.00874372,-1.37227,2223.28
0.00879397,-1.35497,2208.09
0.00884422,-1.33758,2193.6
0.00889447,-1.32011,2179.7
0.00894472,-1.30262,2166.33
0.00899497,-1.28514,2153.41
0.00904523,-1.26771,2140.93
0.00909548,-1.25037,2128.86
0.00914573,-1.23318,2117.19
0.00919598,-1.21617,2105.92
0.00924623,-1.1994,2095.08
0.00929648,-1.18288,2084.66
0.00934673,-1.16663,2074.72
0.00939698,-1.15066,2065.29
0.00944724,-1.13503,2056.42
0.00949749,-1.11978,2048.16
0.00954774,-1.10498,2040.54
0.00959799,-1.09069,2033.59
0.00964824,-1.07698,2027.32
0.00969849,-1.06389,2021.71
0.00974874,-1.05146,2016.74
0.00979899,-1.03969,2012.38
0.00984925,-1.0286,2008.58
0.0098995,-1.01816,2005.28
0.00994975,-1.00838,2002.44
0.01,-0.999217,2000
